// Source data: https://github.com/oazabir/Quran/blob/master/Database/052%20SurahNames%20Data.sql
// Source data: http://wiki.ahlolbait.com/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D9%88%D8%B1%D9%87_%D9%87%D8%A7%DB%8C_%D9%82%D8%B1%D8%A2%D9%86
1,حمد,
1,الفاتحة,
1,فاتحة الکتاب,
1,سبع المثانی,
1,ام القرآن,
1,کنز,
1,اساس,
1,مناجات,
1,شفاء,
1,دعا,
1,کافیه,
1,وافیه,
1,راقیه,
1,Al-Fatiha,en
2,بقره,
2,البقرة,
2,فسطاط القرآن,
2,سَنام القرآن,
2,Al-Baqara,en
3,آل عمران,
3,عمران,
3,Aal-e-Imran,en
4,نساء,
4,النساء,
4,An-Nisa,en
5,مائده,
5,المائدة,
5,Al-Maeda,en
6,انعام,
6,الأنعام,
6,Al-Anaam,en
7,اعراف,
7,الأعراف,
7,Al-Araf,en
8,انفال,
8,الأنفال,
8,Al-Anfal,en
9,توبه,
9,التوبة,
9,At-Taubah,en
10,يونس,
10,Yunus,en
11,هود,
11,Hud,en
12,يوسف,
12,Yusuf,en
13,رعد,
13,الرعد,
13,Ar-Rad,en
14,ابراهيم,
14,إبراهيم,
14,Ibrahim,en
15,حجر,
15,الحجر,
15,Al-Hijr,en
16,نحل,
16,النحل,
16,An-Nahl,en
17,اسراء,
17,الإسراء,
17,Al-Isra,en
18,كهف,
18,الكهف,
18,Al-Kahf,en
19,مريم,
19,Maryam,en
20,طه,
20,Taha,en
21,انبياء,
21,الأنبياء,
21,Al-Anbiya,en
22,حج,
22,الحج,
22,Al-Hajj,en
23,مومنون,
23,المؤمنون,
23,Al-Mumenoon,en
24,نور,
24,النور,
24,An-Noor,en
25,فرقان,
25,الفرقان,
25,Al-Furqan,en
26,شعراء,
26,الشعراء,
26,Ash-Shuara,en
27,نمل,
27,النمل,
27,An-Naml,en
28,قصص,
28,القصص,
28,Al-Qasas,en
29,عنكبوت,
29,العنكبوت,
29,Al-Ankaboot,en
30,روم,
30,الروم,
30,Ar-Room,en
31,لقمان,
31,Luqman,en
32,سجده,
32,السجدة,
32,As-Sajda,en
33,احزاب,
33,الأحزاب,
33,Al-Ahzab,en
34,سبا,
34,سبأ,
34,Saba,en
35,فاطر,
35,Fatir,en
36,يس,
36,Ya Seen,en
37,صافات,
37,الصافات,
37,As-Saaffat,en
38,ص,
38,Sad,en
39,زمر,
39,الزمر,
39,Az-Zumar,en
40,غافر,
40,مؤمن,
40,طول,
40,حم اولی,
40,Ghafir,en
41,فصلت,
41,Fussilat,en
42,شورى,
42,الشورى,
42,Ash-Shura,en
43,زخرف,
43,الزخرف,
43,Az-Zukhruf,en
44,دخان,
44,الدخان,
44,Ad-Dukhan,en
45,جاثيه,
45,الجاثية,
45,Al-Jathiya,en
46,احقاف,
46,الأحقاف,
46,Al-Ahqaf,en
47,محمد,
47,Muhammad,en
48,فتح,
48,الفتح,
48,Al-Fath,en
49,حجرات,
49,الحجرات,
49,Al-Hujraat,en
50,ق,
50,Qaf,en
51,الذاريات,
51,Adh-Dhariyat,en
52,طور,
52,الطور,
52,At-tur,en
53,نجم,
53,النجم,
53,An-Najm,en
54,قمر,
54,القمر,
54,Al-Qamar,en
55,الرحمن,
55,Ar-Rahman,en
56,واقعه,
56,الواقعة,
56,Al-Waqia,en
57,حديد,
57,الحديد,
57,Al-Hadid,en
58,مجادله,
58,المجادلة,
58,Al-Mujadila,en
59,حشر,
59,الحشر,
59,Al-Hashr,en
60,ممتحنه,
60,الممتحنة,
60,Al-Mumtahana,en
61,صف,
61,الصف,
61,As-Saff,en
62,جمعه,
62,الجمعة,
62,Al-Jumua,en
63,منافقون,
63,المنافقون,
63,Al-Munafiqoon,en
64,التغابن,
64,At-Taghabun,en
65,طلاق,
65,الطلاق,
65,At-Talaq,en
66,تحريم,
66,التحريم,
66,At-Tahrim,en
67,ملك,
67,الملك,
67,Al-Mulk,en
68,قلم,
68,القلم,
68,Al-Qalam,en
69,الحاقة,
69,Al-Haaqqa,en
70,معارج,
70,المعارج,
70,Al-Maarij,en
71,نوح,
71,Nooh,en
72,جن,
72,الجن,
72,Al-Jinn,en
73,مزمل,
73,المزمل,
73,Al-Muzzammil,en
74,مدثر,
74,المدثر,
74,Al-Muddathir,en
75,قيامة,
75,القيامة,
75,قیامت,
75,Al-Qiyama,en
76,انسان,
76,الإنسان,
76,Al-Insan,en
77,مرسلات,
77,المرسلات,
77,Al-Mursalat,en
78,نبا,
78,النبأ,
78,An-Naba,en
79,نازعات,
79,النازعات,
79,An-Naziat,en
80,عبس,
80,Abasa,en
81,تكوير,
81,التكوير,
81,At-Takwir,en
82,انفطار,
82,الإنفطار,
82,AL-Infitar,en
83,مطففين,
83,المطففين,
83,Al-Mutaffifin,en
84,انشقاق,
84,الانشقاق,
84,Al-Inshiqaq,en
85,بروج,
85,البروج,
85,Al-Burooj,en
86,الطارق,
86,At-Tariq,en
87,الأعلى,
87,Al-Ala,en
88,الغاشية,
88,غاشیه,
88,Al-Ghashiya,en
89,فجر,
89,الفجر,
89,Al-Fajr,en
90,بلد,
90,البلد,
90,Al-Balad,en
91,الشمس,
91,Ash-Shams,en
92,الليل,
92,Al-Lail,en
93,الضحى,
93,Ad-Dhuha,en
94,انشراح,
94,الشرح,
94,الم نشرح,
94,نشرح,
94,Al-Inshirah,en
95,التين,
95,At-Tin,en
96,علق,
96,العلق,
96,Al-Alaq,en
97,قدر,
97,القدر,
97,Al-Qadr,en
98,بينة,
98,البينة,
98,Al-Bayyina,en
99,الزلزال,
99,الزلزلة,
99,زلزله,
99,Al-Zalzala,en
100,العاديات,
100,Al-Adiyat,en
101,القارعة,
101,Al-Qaria,en
102,تكاثر,
102,التكاثر,
102,At-Takathur,en
103,العصر,
103,Al-Asr,en
104,الهمزة,
104,Al-Humaza,en
105,الفيل,
105,Al-fil,en
106,قريش,
106,Quraish,en
107,ماعون,
107,الماعون,
107,Al-Maun,en
108,كوثر,
108,الكوثر,
108,Al-Kauther,en
109,كافرون,
109,الكافرون,
109,Al-Kafiroon,en
110,نصر,
110,النصر,
110,An-Nasr,en
111,لهب,
111,المسد,
111,Al-Masadd,en
112,اخلاص,
112,الإخلاص,
112,Al-Ikhlas,en
113,فلق,
113,الفلق,
113,Al-Falaq,en
114,ناس,
114,الناس,
114,An-Nas,en
